Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year,week
2015-07-19,2.08,1076.23,50.86,112.36,0.0,913.01,913.01,0.0,0.0,2015,29
2015-07-26,2.01,1449.04,99.16,165.27,0.0,1184.61,1184.61,0.0,0.0,2015,30
2015-08-02,2.0,1223.94,17.66,103.62,0.0,1102.66,1102.66,0.0,0.0,2015,31
2015-08-09,1.88,1421.47,79.82,106.81,0.0,1234.84,1234.84,0.0,0.0,2015,32
2015-08-16,2.0,1467.23,24.56,168.41,0.0,1274.26,1274.26,0.0,0.0,2015,33
2015-08-23,1.87,1275.64,24.45,97.82,0.0,1153.37,1153.37,0.0,0.0,2015,34
2015-08-30,1.88,1239.16,17.27,65.08,0.0,1156.81,1156.81,0.0,0.0,2015,35
2015-09-06,1.86,1168.86,30.13,96.18,0.0,1042.55,1042.55,0.0,0.0,2015,36
2015-09-13,1.99,902.5,13.86,105.13,0.0,783.51,783.51,0.0,0.0,2015,37
2015-09-20,1.98,774.2,42.63,228.13,0.0,503.44,503.44,0.0,0.0,2015,38
2015-09-27,1.98,814.13,13.79,140.23,0.0,660.11,660.11,0.0,0.0,2015,39
2015-10-04,1.98,1145.88,5.74,165.26,0.0,974.88,964.68,10.2,0.0,2015,40
2015-10-11,1.9,1170.01,28.65,88.25,0.0,1053.11,1035.28,17.83,0.0,2015,41
2015-10-18,1.97,969.29,10.31,158.07,0.0,800.91,800.91,0.0,0.0,2015,42
2015-10-25,1.83,1161.9,49.27,148.96,0.0,963.67,963.67,0.0,0.0,2015,43
2015-11-01,1.88,1021.68,11.47,137.58,0.0,872.63,872.63,0.0,0.0,2015,44
2015-11-08,1.88,1332.27,20.08,351.4,0.0,960.79,960.79,0.0,0.0,2015,45
2015-11-15,1.89,1208.54,20.71,238.16,0.0,949.67,949.67,0.0,0.0,2015,46
2015-11-22,1.94,858.83,13.84,84.18,0.0,760.81,755.69,5.12,0.0,2015,47
2015-11-29,1.94,831.69,0.0,94.73,0.0,736.96,736.96,0.0,0.0,2015,48
2015-12-06,1.84,1158.42,90.29,104.18,0.0,963.95,948.52,15.43,0.0,2015,49
2015-12-13,1.85,995.96,10.44,178.7,0.0,806.82,806.82,0.0,0.0,2015,50
2015-12-20,1.89,1163.03,30.24,172.14,0.0,960.65,960.65,0.0,0.0,2015,51
2015-12-27,1.83,989.55,8.16,88.59,0.0,892.8,892.8,0.0,0.0,2015,52
2016-01-03,1.75,1145.5,7.0,187.9,0.0,950.6,950.6,0.0,0.0,2016,53
2016-01-10,1.83,1676.05,35.03,329.33,0.0,1311.69,1311.69,0.0,0.0,2016,1
2016-01-17,1.67,1496.73,66.63,430.17,0.0,999.93,992.14,7.79,0.0,2016,2
2016-01-24,1.83,1506.87,23.39,294.7,0.0,1188.78,1180.98,7.8,0.0,2016,3
2016-01-31,1.79,1305.94,34.38,186.13,0.0,1085.43,1085.43,0.0,0.0,2016,4
2016-02-07,1.81,1252.86,33.15,254.56,0.0,965.15,962.52,2.63,0.0,2016,5
2016-02-14,1.81,1247.8,50.84,263.65,0.0,933.31,933.31,0.0,0.0,2016,6
2016-02-21,1.79,1282.87,23.61,213.64,0.0,1045.62,1045.62,0.0,0.0,2016,7
2016-02-28,1.79,1485.73,9.43,143.74,0.0,1332.56,1327.32,5.24,0.0,2016,8
2016-03-06,1.92,1704.24,65.94,401.53,0.0,1236.77,1236.77,0.0,0.0,2016,9
2016-03-13,1.79,1822.67,25.87,303.42,0.0,1493.38,1493.38,0.0,0.0,2016,10
2016-03-20,1.76,1733.01,14.09,258.37,0.0,1460.55,1460.55,0.0,0.0,2016,11
2016-03-27,1.65,1705.39,14.07,98.52,0.0,1592.8,1592.8,0.0,0.0,2016,12
2016-04-03,1.56,1903.46,36.34,193.4,0.0,1673.72,1673.72,0.0,0.0,2016,13
2016-04-10,1.62,2161.66,7.04,161.85,0.0,1992.77,1992.77,0.0,0.0,2016,14
2016-04-17,1.82,2058.73,0.0,374.18,0.0,1684.55,1684.55,0.0,0.0,2016,15
2016-04-24,1.77,2328.82,19.94,430.39,0.0,1878.49,1878.49,0.0,0.0,2016,16
2016-05-01,1.78,1604.0,5.86,240.42,0.0,1357.72,1357.72,0.0,0.0,2016,17
2016-05-08,1.83,2103.64,0.0,536.2,0.0,1567.44,1567.44,0.0,0.0,2016,18
2016-05-15,1.59,1259.86,17.4,367.82,0.0,874.64,874.64,0.0,0.0,2016,19
2016-05-22,1.55,1193.06,26.72,346.19,0.0,820.15,820.15,0.0,0.0,2016,20
2016-05-29,1.49,1117.44,5.82,218.73,0.0,892.89,892.89,0.0,0.0,2016,21
2016-06-05,1.47,1007.03,2.33,203.69,0.0,801.01,801.01,0.0,0.0,2016,22
2016-06-12,1.43,887.29,4.66,150.28,0.0,732.35,732.35,0.0,0.0,2016,23
2016-06-19,1.45,974.27,10.6,149.57,0.0,814.1,814.1,0.0,0.0,2016,24
2016-06-26,1.53,1922.75,0.0,162.87,0.0,1759.88,1759.88,0.0,0.0,2016,25
2016-07-03,1.43,3529.44,11.65,261.39,0.0,3256.4,3256.4,0.0,0.0,2016,26
2016-07-10,1.58,2173.2,31.76,113.57,0.0,2027.87,2027.87,0.0,0.0,2016,27
2016-07-17,1.57,2399.74,16.56,201.12,0.0,2182.06,2182.06,0.0,0.0,2016,28
2016-07-24,1.42,1811.44,23.66,175.08,0.0,1612.7,1612.7,0.0,0.0,2016,29
2016-07-31,1.43,1553.42,29.56,204.54,0.0,1319.32,1319.32,0.0,0.0,2016,30
2016-08-07,1.67,1545.79,54.24,206.36,0.0,1285.19,1285.19,0.0,0.0,2016,31
2016-08-14,1.72,1609.03,29.39,252.78,0.0,1326.86,1326.86,0.0,0.0,2016,32
2016-08-21,1.67,1926.01,19.93,233.25,0.0,1672.83,1672.83,0.0,0.0,2016,33
2016-08-28,1.66,1922.46,17.35,200.92,0.0,1704.19,1704.19,0.0,0.0,2016,34
2016-09-04,1.73,2194.77,52.26,181.76,0.0,1960.75,1960.75,0.0,0.0,2016,35
2016-09-11,1.68,3501.41,128.94,227.69,0.0,3144.78,3144.78,0.0,0.0,2016,36
2016-09-18,1.69,2137.53,47.35,194.65,0.0,1895.53,1895.53,0.0,0.0,2016,37
2016-09-25,1.68,2019.71,33.22,190.77,0.0,1795.72,1795.72,0.0,0.0,2016,38
2016-10-02,1.73,2492.82,51.93,139.63,0.0,2301.26,2301.26,0.0,0.0,2016,39
2016-10-09,1.75,2179.44,77.27,155.69,0.0,1946.48,1946.48,0.0,0.0,2016,40
2016-10-16,1.75,1939.89,71.5,111.86,0.0,1756.53,1756.53,0.0,0.0,2016,41
2016-10-23,1.86,1913.99,37.83,80.72,0.0,1795.44,1795.44,0.0,0.0,2016,42
2016-10-30,1.96,1326.8,57.66,93.41,0.0,1175.73,1175.73,0.0,0.0,2016,43
2016-11-06,1.93,2674.0,60.08,194.11,0.0,2419.81,2419.81,0.0,0.0,2016,44
2016-11-13,2.0,2084.37,75.8,191.07,0.0,1817.5,1817.5,0.0,0.0,2016,45
2016-11-20,1.93,1862.7,122.63,197.39,0.0,1542.68,1542.68,0.0,0.0,2016,46
2016-11-27,1.97,1646.78,50.76,177.08,0.0,1418.94,1418.94,0.0,0.0,2016,47
2016-12-04,1.97,1364.73,100.01,99.17,0.0,1165.55,1165.55,0.0,0.0,2016,48
2016-12-11,1.9,1886.63,42.26,156.72,0.0,1687.65,1687.65,0.0,0.0,2016,49
2016-12-18,1.86,1472.84,111.34,198.07,0.0,1163.43,1163.43,0.0,0.0,2016,50
2016-12-25,1.93,1714.92,77.5,250.13,0.0,1387.29,1387.29,0.0,0.0,2016,51
2017-01-01,1.87,1376.7,71.65,192.63,0.0,1112.42,1112.42,0.0,0.0,2017,52
2017-01-08,1.94,2229.52,63.46,478.31,0.0,1687.75,1687.75,0.0,0.0,2017,1
2017-01-15,1.84,1982.65,82.3,328.02,0.0,1572.33,1572.33,0.0,0.0,2017,2
2017-01-22,1.82,1897.07,78.83,128.24,0.0,1690.0,1690.0,0.0,0.0,2017,3
2017-01-29,1.86,1795.81,32.53,123.14,0.0,1640.14,1640.14,0.0,0.0,2017,4
2017-02-05,1.72,1753.35,26.75,223.33,0.0,1503.27,1503.27,0.0,0.0,2017,5
2017-02-12,1.78,1806.4,119.52,170.57,0.0,1516.31,1516.31,0.0,0.0,2017,6
2017-02-19,1.67,2523.56,1049.5,141.41,0.0,1332.65,1332.65,0.0,0.0,2017,7
2017-02-26,1.71,2185.96,508.31,240.1,0.0,1437.55,1437.55,0.0,0.0,2017,8
2017-03-05,1.84,2228.14,241.0,208.79,0.0,1778.35,1778.35,0.0,0.0,2017,9
2017-03-12,1.97,2001.95,123.51,206.64,0.0,1671.8,1671.8,0.0,0.0,2017,10
2017-03-19,1.87,2763.38,503.14,175.98,0.0,2084.26,2084.26,0.0,0.0,2017,11
2017-03-26,2.02,2250.22,166.49,263.32,0.0,1820.41,1820.41,0.0,0.0,2017,12
2017-04-02,1.86,3492.87,885.46,362.37,0.0,2245.04,2245.04,0.0,0.0,2017,13
2017-04-09,1.92,2209.82,159.65,189.67,0.0,1860.5,1860.5,0.0,0.0,2017,14
2017-04-16,1.85,2886.48,265.82,203.84,0.0,2416.82,2416.82,0.0,0.0,2017,15
2017-04-23,1.92,2087.6,110.25,182.56,0.0,1794.79,1794.79,0.0,0.0,2017,16
2017-04-30,1.74,3046.63,388.81,280.28,0.0,2377.54,2377.54,0.0,0.0,2017,17
2017-05-07,1.79,2897.23,89.53,315.14,0.0,2492.56,2492.56,0.0,0.0,2017,18
2017-05-14,1.57,4270.28,44.12,450.74,0.0,3775.42,3775.42,0.0,0.0,2017,19
2017-05-21,1.84,3184.37,20.33,385.05,0.0,2778.99,2778.99,0.0,0.0,2017,20
2017-05-28,1.87,3365.45,11.93,344.88,0.0,3008.64,3008.64,0.0,0.0,2017,21
2017-06-04,1.63,3771.39,54.47,352.85,0.0,3364.07,3364.07,0.0,0.0,2017,22
2017-06-11,2.04,2719.24,21.33,248.87,0.0,2449.04,2449.04,0.0,0.0,2017,23
2017-06-18,2.03,3185.1,366.52,266.88,0.0,2551.7,2551.7,0.0,0.0,2017,24
2017-06-25,2.13,2898.81,142.46,295.6,0.0,2460.75,2460.75,0.0,0.0,2017,25
2017-07-02,2.03,2268.86,59.41,278.04,0.0,1931.41,1931.41,0.0,0.0,2017,26
2017-07-09,2.0,1883.1,38.06,187.9,0.0,1657.14,1657.14,0.0,0.0,2017,27
2017-07-16,1.87,2889.03,155.1,274.95,0.0,2458.98,2458.98,0.0,0.0,2017,28
2017-07-23,1.42,4233.61,93.39,93.39,0.0,4046.83,4046.83,0.0,0.0,2017,29
2017-07-30,1.67,2503.82,55.26,92.99,0.0,2355.57,2355.57,0.0,0.0,2017,30
2017-08-06,1.98,2576.49,39.31,331.89,0.0,2205.29,2205.29,0.0,0.0,2017,31
2017-08-13,1.9,2259.92,42.86,207.29,0.0,2009.77,2009.77,0.0,0.0,2017,32
2017-08-20,1.86,2584.08,61.21,143.82,0.0,2379.05,2379.05,0.0,0.0,2017,33
2017-08-27,1.91,2525.28,44.15,210.54,0.0,2270.59,2270.59,0.0,0.0,2017,34
2017-09-03,2.0,2022.0,112.42,254.49,0.0,1655.09,1655.09,0.0,0.0,2017,35
2017-09-10,1.78,3139.84,45.5,196.27,0.0,2898.07,2894.74,3.33,0.0,2017,36
2017-09-17,1.55,3431.2,30.32,215.1,0.0,3185.78,3185.78,0.0,0.0,2017,37
2017-09-24,1.42,3627.18,56.82,95.31,0.0,3475.05,3475.05,0.0,0.0,2017,38
2017-10-01,1.59,3423.95,31.2,150.24,0.0,3242.51,3242.51,0.0,0.0,2017,39
2017-10-08,1.4,5229.43,23.15,341.52,0.0,4864.76,4864.76,0.0,0.0,2017,40
2017-10-15,1.47,4522.84,18.71,237.43,0.0,4266.7,4266.7,0.0,0.0,2017,41
2017-10-22,1.49,4337.67,3.52,268.83,0.0,4065.32,4061.99,3.33,0.0,2017,42
2017-10-29,1.38,5583.79,12.99,180.62,0.0,5390.18,5390.18,0.0,0.0,2017,43
2017-11-05,1.5,3425.86,3.56,64.14,0.0,3358.16,3358.16,0.0,0.0,2017,44
2017-11-12,1.71,2664.62,0.0,245.71,0.0,2418.91,2418.91,0.0,0.0,2017,45
2017-11-19,1.75,2506.38,0.0,252.98,0.0,2253.4,2250.07,3.33,0.0,2017,46
2017-11-26,1.57,2841.29,27.75,182.15,0.0,2631.39,2631.39,0.0,0.0,2017,47
2017-12-03,1.44,3577.04,118.55,306.55,0.0,3151.94,3151.94,0.0,0.0,2017,48
2017-12-10,1.45,3779.98,18.04,262.14,0.0,3499.8,3499.8,0.0,0.0,2017,49
2017-12-17,1.43,3513.77,37.46,209.3,0.0,3267.01,3267.01,0.0,0.0,2017,50
2017-12-24,1.58,3694.13,31.68,327.39,0.0,3335.06,3335.06,0.0,0.0,2017,51
2017-12-31,1.46,3463.85,18.12,198.16,0.0,3247.57,3247.57,0.0,0.0,2017,52
2018-01-07,1.54,4816.9,43.51,412.17,0.0,4361.22,4357.89,3.33,0.0,2018,1
2018-01-14,1.47,4140.95,7.3,301.87,0.0,3831.78,3831.78,0.0,0.0,2018,2
2018-01-21,1.54,3346.54,14.67,253.01,0.0,3078.86,3078.86,0.0,0.0,2018,3
2018-01-28,1.32,6987.56,433.66,374.96,0.0,6178.94,6178.94,0.0,0.0,2018,4
2018-02-04,1.52,4124.96,118.38,420.36,0.0,3586.22,3586.22,0.0,0.0,2018,5
2018-02-11,1.43,3817.93,59.18,289.85,0.0,3468.9,3468.9,0.0,0.0,2018,6
2018-02-18,1.43,7566.17,4314.3,251.85,0.0,3000.02,3000.02,0.0,0.0,2018,7
2018-02-25,1.56,5356.63,816.56,532.59,0.0,4007.48,4007.48,0.0,0.0,2018,8
2018-03-04,1.48,3851.3,311.55,296.77,0.0,3242.98,3239.65,3.33,0.0,2018,9
2018-03-11,1.68,2570.52,131.67,229.56,0.0,2209.29,2209.29,0.0,0.0,2018,10
2018-03-18,1.66,3154.45,275.89,297.96,0.0,2580.6,2577.27,3.33,0.0,2018,11
2018-03-25,1.71,2321.82,42.95,272.41,0.0,2006.46,1996.46,10.0,0.0,2018,12
